Model,scaled_MAE,real_MAE,scaled_MSE,real_MSE,scaled_RMSE,real_RMSE,scaled_RMSLE,real_RMSLE
LSTM,0.05704015357631776,1.4062223782924568,0.11689061650579603,16.874908536945252,0.15793132841753846,3.053305154040465,0.06869058181691345,0.29884057129980984
GRU,0.05488705257309999,1.3874707687417063,0.11648748929124556,16.93957969243542,0.1547706321011298,3.018797531465175,0.06634303641340354,0.29834172452473856
BiLSTM,0.055602073465629835,1.3745507391670644,0.1182662142603151,16.347100936747054,0.1561332554650737,3.00264350832412,0.06719081299736461,0.2959931602768611
BiGRU,0.052673967768058064,1.3005717383025606,0.11758273144666882,14.612314460698782,0.15278833809863687,2.8576815698084688,0.06456258540218554,0.28957833671445976
