Model,scaled_MAE,real_MAE,scaled_MSE,real_MSE,scaled_RMSE,real_RMSE,scaled_RMSLE,real_RMSLE
LSTM,0.053845395075892914,1.3417150459287874,0.11814279253023967,16.232253189056465,0.15561483312413205,2.9663381671279763,0.06579276191925958,0.2842236720244539
GRU,0.05340483023714725,1.3249445871376664,0.11826739287551993,15.295579275782721,0.15342412652513893,2.9061132205151243,0.06484792827669486,0.2857463130339489
BiLSTM,0.050178842154604004,1.24638890621578,0.11521159753637804,14.009694203958746,0.1501009622606905,2.7869181368370746,0.062243440338459,0.2741644660334937
BiGRU,0.05085165585956989,1.2568386417048674,0.11781995191450133,14.70176317126574,0.15192393835647625,2.818888868644122,0.0630233207795684,0.27515531020349415
