Model,scaled_MAE,real_MAE,scaled_MSE,real_MSE,scaled_RMSE,real_RMSE,scaled_RMSLE,real_RMSLE
LSTM,0.0533662408093282,1.3054024991966,0.117718961396827,15.3638452544121,0.154073223620646,2.93367787190629,0.0652781702268571,0.279136342375822
GRU,0.0531151865771324,1.32459821015744,0.117930360812555,15.6717045535062,0.153607209037083,2.93210918241182,0.0652229433253963,0.284748297479753
BiLSTM,0.0515968389985454,1.27462236702761,0.115164280751427,14.4636739294523,0.151037724633501,2.84237055953598,0.0632766755585212,0.279035466852048
BiGRU,0.0516186115996049,1.29644955332543,0.116776135199609,14.8828402420739,0.151674240485301,2.85611806715039,0.0636238790593563,0.283515056559502
