Model,scaled_MAE,real_MAE,scaled_MSE,real_MSE,scaled_RMSE,real_RMSE,scaled_RMSLE,real_RMSLE
LSTM,0.05848095103760545,1.4411596922751788,0.12133008987318197,18.62651386351513,0.16096458700388458,3.153676675605161,0.0716234178405646,0.3012401699370032
GRU,0.05780261509703833,1.3973062061207229,0.12490993281055482,17.968468045505745,0.16059062473758348,3.0489376843966083,0.07035476658893096,0.3013151700822461
BiLSTM,0.05796774114049879,1.405441012956364,0.1184693255612584,16.46596912291989,0.1581745552689615,3.0492326583060603,0.06992245547314012,0.3088866244041865
BiGRU,0.055763867472170034,1.3600836171651822,0.12010496802763276,15.951719894500595,0.15689714779255368,2.9552155734370906,0.06760100364357607,0.29582016641585884
