Model,scaled_MAE,real_MAE,scaled_MSE,real_MSE,scaled_RMSE,real_RMSE,scaled_RMSLE,real_RMSLE
LSTM,0.0315996390614508,0.71135810121799,0.111924263803935,8.63725252302988,0.13171657282706,2.04900938259901,0.0472923625765742,0.175903428075315
GRU,0.0287433457142441,0.676802964265797,0.106475084219437,7.75541485119777,0.126617991515908,2.00232440256119,0.0439508230559282,0.173709673655223
BiLSTM,0.0277520233651166,0.65470523611086,0.105923984781417,7.21830862123729,0.123747051042545,1.9329032344375,0.0435548097698187,0.166973489557428
BiGRU,0.0284872921614786,0.667565545735949,0.106964492010924,7.83626626598852,0.126328471915169,1.97195078526648,0.043482344231993,0.169812321960109
