Model,scaled_MAE,real_MAE,scaled_MSE,real_MSE,scaled_RMSE,real_RMSE,scaled_RMSLE,real_RMSLE
LSTM,0.03665075741274168,0.8355804428531166,0.11308930031552035,11.565289965565652,0.13904732184204566,2.3373687724540524,0.05371246289649285,0.20622385105969374
GRU,0.03426962248951011,0.8051325525318667,0.10787904020416837,9.970088351600745,0.13496916344139995,2.2727246437185324,0.05109283959294173,0.20156213170157955
BiLSTM,0.03464371459124028,0.8130234765826252,0.10831707048838185,10.065014670026645,0.13516892377972153,2.2731611916416323,0.051251227137521706,0.20160912319452332
BiGRU,0.033428818158669285,0.7667303848827868,0.10958970632953717,9.476916733816996,0.13399908665475754,2.21014157318223,0.05010140474801148,0.19473551985093024
