Model,scaled_MAE,real_MAE,scaled_MSE,real_MSE,scaled_RMSE,real_RMSE,scaled_RMSLE,real_RMSLE
LSTM,0.032921096743862635,0.7699381002423161,0.10799497085076562,9.481481560347245,0.13225720052537787,2.1973960742331595,0.0483805867835601,0.19127315209283735
GRU,0.03194775436583417,0.7422104836686804,0.10785610507335482,9.40484258790231,0.13207181376425936,2.185302751098034,0.04812675450274114,0.18866666558357784
BiLSTM,0.030437869927399806,0.7103305806671811,0.10609436358216745,8.581891623937711,0.12848247148697903,2.1049555990824063,0.04684706904926815,0.18203405130817843
BiGRU,0.030988049971139155,0.7064003763743897,0.10581653542107029,8.328164647141838,0.12968725876834644,2.0835843948142867,0.04677958433454866,0.18279036049205075
