Model,scaled_MAE,real_MAE,scaled_MSE,real_MSE,scaled_RMSE,real_RMSE,scaled_RMSLE,real_RMSLE
LSTM,0.0310861349968408,0.725020831819529,0.11120351452766,9.12908378383491,0.131721645673854,2.10872645947346,0.0467622791577566,0.177534994005406
GRU,0.0288703589688504,0.689467776868171,0.10518581714139,7.82231787984477,0.125644423876809,2.0005639989627,0.0436285324949997,0.175771987007039
BiLSTM,0.0300445087126091,0.688954954279285,0.107523562578722,8.03715021714994,0.128148209582507,2.01891087517407,0.0449595342861211,0.173492402754423
BiGRU,0.0286108349457781,0.674849659937385,0.105178043204188,7.80421487996029,0.125212012707961,1.98118865112105,0.0433354540394219,0.170132924027447
